student_id,age_band,entry_route,prior_gpa,first_generation,financial_support,distance_km,week4_attendance_rate,week4_lms_logins,assignment1_score,support_sessions_week4,final_attendance_rate,final_exam_score,credits_completed,academic_success
S10101,18-20,Transfer,3.63,1,0,9.5,0.714,12,80.7,2,0.858,94.1,56,1
S10102,21-24,Transfer,3.81,1,1,16.4,0.791,19,57.8,2,0.949,85.3,60,1
S10103,18-20,Direct,3.51,1,1,33.4,0.898,20,81.7,2,0.994,92.1,60,1
S10104,21-24,Access,3.28,1,1,27.4,0.903,20,91.8,3,0.978,86.2,59,1
S10105,18-20,Direct,2.89,0,0,3.8,0.549,27,44.1,1,0.646,92.6,52,1
S10106,18-20,Direct,1.82,0,0,45.5,0.629,1,35.2,1,0.615,36.1,11,0
S10107,25+,Transfer,2.38,0,1,,0.622,22,65.4,1,0.564,38.0,16,0
S10108,25+,Transfer,3.31,0,0,27.1,0.81,29,82.7,0,0.763,38.3,21,0
S10109,18-20,Direct,3.07,1,0,8.0,0.642,18,46.2,1,0.669,72.5,59,1
S10110,21-24,Direct,3.12,0,1,15.9,0.526,9,47.7,1,0.672,85.5,60,1
S10111,18-20,Direct,3.15,0,0,19.5,1.0,30,100.0,1,1.0,94.2,52,1
S10112,21-24,Direct,2.39,1,1,9.8,0.609,14,63.7,2,0.56,44.4,13,0
S10113,21-24,Direct,3.27,0,1,37.7,0.931,35,100.0,2,1.0,84.2,59,1
S10114,21-24,Transfer,2.12,1,1,25.7,0.613,14,46.0,1,0.548,44.3,14,0
S10115,25+,Direct,2.13,0,0,22.3,0.659,19,,1,0.588,44.6,11,0
S10116,25+,Direct,2.5,1,0,8.1,0.855,27,75.4,2,0.863,73.0,56,1
S10117,18-20,Direct,2.72,1,1,8.1,0.8,15,61.1,1,0.933,78.3,53,1
S10118,18-20,Direct,1.67,0,0,14.7,0.516,4,50.4,2,0.479,48.4,17,0
S10119,18-20,Transfer,1.97,0,1,44.2,0.598,0,15.5,1,0.518,39.9,12,0
S10120,18-20,Transfer,2.8,1,0,15.6,0.591,11,78.9,0,0.502,38.6,21,0
S10121,18-20,Direct,3.48,0,0,10.6,0.781,22,91.6,0,0.764,51.8,19,0
S10122,18-20,Access,2.97,1,0,6.1,0.844,29,50.1,0,0.833,53.6,21,0
S10123,21-24,Transfer,2.36,1,0,27.1,0.863,11,48.1,0,0.941,81.6,52,1
S10124,21-24,Direct,2.15,1,0,9.7,0.756,12,46.0,2,0.707,42.8,22,0
S10125,18-20,Transfer,3.05,0,0,24.3,0.894,12,63.0,0,0.898,85.6,60,1
S10126,25+,Direct,3.3,0,0,12.4,0.621,14,69.4,1,0.77,92.6,60,1
S10127,18-20,Direct,2.68,0,0,16.7,0.817,22,62.7,0,0.768,43.1,19,0
S10128,18-20,Transfer,2.8,0,1,8.3,0.674,18,56.7,1,0.571,54.1,13,0
S10129,18-20,Direct,3.3,1,1,40.1,0.88,25,98.1,0,0.926,76.8,60,1
S10130,25+,Direct,2.53,1,1,17.7,0.653,16,57.9,2,0.507,60.0,19,0
S10131,25+,Transfer,2.42,1,1,19.1,0.877,15,80.2,0,0.913,77.5,54,1
S10132,18-20,Transfer,3.94,0,0,25.5,0.845,26,84.7,1,0.894,100.0,55,1
S10133,18-20,Direct,2.14,0,0,30.9,0.685,16,78.9,0,0.838,81.3,53,1
S10134,18-20,Direct,3.15,0,1,8.4,0.787,15,,1,0.858,81.0,57,1
S10135,21-24,Direct,3.61,0,0,7.9,0.786,19,59.4,0,0.877,87.6,58,1
S10136,18-20,Direct,2.57,1,0,11.8,0.689,9,61.2,1,0.611,44.7,16,0
S10137,21-24,Transfer,3.12,1,0,6.3,0.716,8,43.0,1,0.821,90.1,52,1
S10138,18-20,Direct,3.28,1,1,34.2,0.605,21,86.6,1,0.77,89.6,53,1
S10139,25+,Direct,2.89,0,0,12.3,0.82,26,71.1,0,0.821,79.4,56,1
S10140,21-24,Direct,,0,0,23.0,0.694,27,70.4,0,0.577,51.6,24,0
S10141,18-20,Direct,2.37,0,0,15.0,0.688,12,72.2,1,0.66,38.6,19,0
S10142,18-20,Direct,2.59,1,1,21.2,0.62,9,59.9,0,0.595,80.9,44,1
S10143,18-20,Direct,3.55,0,0,,0.823,14,59.8,0,0.654,55.6,24,0
S10144,21-24,Direct,1.96,1,0,2.0,0.863,21,57.1,1,0.74,32.1,21,0
S10145,18-20,Direct,2.03,0,1,20.9,0.624,28,74.4,0,0.566,40.6,8,0
S10146,18-20,Direct,2.24,1,0,22.2,0.749,10,50.8,1,0.608,38.7,14,0
S10147,25+,Direct,3.17,1,1,2.7,0.747,16,72.6,2,0.79,62.3,60,1
S10148,21-24,Direct,2.95,0,0,10.3,0.897,28,65.8,4,0.976,68.5,53,1
S10149,18-20,Transfer,2.26,0,0,8.7,0.966,17,100.0,2,1.0,73.5,60,1
S10150,18-20,Transfer,2.59,0,0,6.1,0.858,18,46.4,0,0.895,67.6,58,1
S10151,21-24,Transfer,3.21,0,0,5.8,0.93,24,90.3,0,1.0,73.9,51,1
S10152,18-20,Access,2.67,1,0,32.1,0.814,26,72.4,0,0.761,50.3,20,0
S10153,18-20,Direct,2.85,0,0,3.4,0.754,18,68.1,0,0.786,75.1,60,1
S10154,18-20,Access,1.92,1,0,6.0,0.474,4,43.5,2,0.514,75.2,45,1
S10155,18-20,Direct,3.14,0,0,9.4,0.411,3,42.2,1,0.497,90.6,55,1
S10156,25+,Direct,3.63,1,1,14.5,0.899,19,,1,0.84,51.4,17,0
S10157,18-20,Access,2.27,0,0,13.4,0.775,22,54.1,0,0.966,88.9,54,1
S10158,18-20,Direct,1.93,0,0,18.1,0.585,9,33.4,0,0.538,42.8,18,0
S10159,25+,Direct,3.29,1,0,6.0,0.52,8,65.0,2,0.51,86.6,50,1
S10160,18-20,Direct,1.48,1,0,14.9,0.623,16,53.7,2,0.654,66.7,46,1
S10161,21-24,Transfer,2.14,0,0,8.1,0.946,29,83.2,2,1.0,63.6,51,1
S10162,25+,Direct,2.44,0,0,20.2,0.751,15,76.2,2,0.823,72.3,60,1
S10163,18-20,Transfer,2.29,1,1,8.3,0.497,7,61.3,1,0.512,35.7,14,0
S10164,21-24,Direct,1.59,0,1,34.9,0.411,5,42.0,1,0.323,26.3,24,0
S10165,21-24,Direct,2.05,1,0,9.3,0.806,21,56.7,0,0.952,71.2,47,1
S10166,21-24,Direct,3.52,0,1,10.1,0.761,12,74.5,1,0.784,92.2,60,1
S10167,21-24,Direct,1.67,0,0,8.0,0.566,10,55.0,3,0.54,29.7,18,0
S10168,18-20,Direct,3.06,1,1,10.1,0.664,16,77.7,3,0.762,79.4,48,1
S10169,18-20,Transfer,2.78,1,1,14.0,0.585,2,86.5,2,0.411,42.1,16,0
S10170,18-20,Transfer,2.26,1,1,6.2,0.651,17,,1,0.599,51.1,19,0
S10171,18-20,Direct,2.31,0,1,29.9,0.674,21,68.0,3,0.8,76.9,40,1
S10172,25+,Access,2.43,0,0,9.3,1.0,15,74.6,0,0.952,56.0,17,0
S10173,21-24,Direct,2.76,0,0,18.0,0.71,5,55.1,1,0.715,81.5,57,1
S10174,21-24,Direct,1.82,1,1,14.8,0.609,10,31.7,6,0.729,82.5,52,1
S10175,18-20,Access,2.47,1,1,23.9,0.668,11,73.0,0,0.645,42.5,19,0
S10176,18-20,Access,3.01,0,1,28.2,0.934,22,51.5,0,0.959,51.7,10,0
S10177,21-24,Direct,1.92,0,1,27.5,0.592,0,45.5,1,0.657,80.2,60,1
S10178,18-20,Direct,2.37,1,0,9.6,0.694,13,61.4,2,0.757,81.1,50,1
S10179,21-24,Direct,2.43,1,0,38.9,0.66,18,60.6,0,0.557,38.0,21,0
S10180,25+,Direct,1.94,1,1,3.3,0.696,12,64.2,0,0.649,44.2,11,0
S10181,21-24,Access,1.78,0,0,13.9,0.504,14,51.7,3,0.466,29.3,12,0
S10182,25+,Direct,2.02,0,0,4.9,0.987,18,65.6,1,0.894,37.8,15,0
S10183,25+,Direct,2.53,0,0,35.0,0.542,12,60.1,0,0.435,48.8,25,0
S10184,18-20,Direct,2.8,1,0,6.3,0.775,19,71.8,0,0.789,57.0,10,0
S10185,21-24,Direct,2.63,0,0,9.3,0.579,18,67.1,0,0.383,49.5,16,0
S10186,18-20,Access,2.71,0,0,12.6,0.797,17,51.1,2,0.748,40.9,14,0
S10187,21-24,Direct,1.23,0,0,14.6,0.816,17,68.8,0,0.798,35.2,13,0
S10188,21-24,Access,2.26,0,1,13.1,0.848,4,77.5,2,0.871,76.9,60,1
S10189,18-20,Direct,2.98,1,0,7.1,0.758,9,53.6,0,0.88,82.1,57,1
S10190,18-20,Direct,2.41,0,1,15.2,0.543,10,45.8,1,0.51,47.3,20,0
S10191,18-20,Direct,3.44,0,0,41.8,0.936,22,100.0,2,0.944,82.2,55,1
S10192,18-20,Direct,3.29,0,0,7.9,0.861,41,98.1,1,0.898,71.7,49,1
S10193,18-20,Direct,3.18,0,1,23.5,0.717,12,76.1,0,0.811,84.9,59,1
S10194,18-20,Direct,2.13,0,0,24.4,0.729,24,58.0,1,0.727,30.6,17,0
S10195,21-24,Transfer,2.55,1,0,26.0,0.925,28,71.9,1,0.835,51.2,20,0
S10196,21-24,Direct,2.51,0,1,5.9,0.765,16,49.0,1,0.68,52.1,20,0
S10197,25+,Transfer,3.11,0,1,3.7,0.764,26,60.7,1,0.825,81.6,57,1
S10198,18-20,Direct,2.61,0,0,2.4,0.914,24,71.8,0,0.818,45.8,20,0
S10199,21-24,Direct,3.48,0,0,8.2,0.821,14,,0,0.937,83.0,60,1
S10200,18-20,Direct,3.46,0,1,19.0,0.887,18,80.2,0,0.982,75.0,57,1
S10201,18-20,Transfer,2.17,0,1,4.0,0.67,16,53.7,0,0.532,38.5,13,0
S10202,18-20,Direct,1.47,0,1,26.8,0.531,24,65.6,1,0.65,69.1,48,1
S10203,18-20,Transfer,1.76,0,1,15.3,0.521,10,24.0,1,0.43,56.9,12,0
S10204,18-20,Direct,3.41,0,0,7.3,1.0,15,85.9,0,1.0,73.9,60,1
S10205,18-20,Direct,2.49,1,1,29.6,0.867,19,62.9,1,1.0,72.9,57,1
S10206,18-20,Direct,1.79,0,0,36.9,0.457,11,13.7,1,0.373,39.4,14,0
S10207,18-20,Direct,2.63,0,0,26.6,0.626,0,48.1,0,0.643,56.9,30,0
S10208,18-20,Access,4.0,0,0,8.3,0.425,15,82.5,2,0.495,75.5,60,1
S10209,25+,Direct,3.21,0,1,42.7,0.82,5,51.0,0,0.86,72.3,57,1
S10210,25+,Transfer,2.25,1,1,16.3,1.0,15,81.8,2,1.0,81.0,57,1
S10211,21-24,Direct,2.28,0,0,30.0,0.641,15,65.6,2,0.515,46.9,20,0
S10212,18-20,Direct,2.66,1,1,12.6,0.664,12,57.1,0,0.687,88.4,60,1
S10213,21-24,Direct,2.79,0,1,7.2,0.952,17,81.3,0,0.901,45.6,20,0
S10214,18-20,Direct,2.41,0,0,3.1,0.594,27,51.0,0,0.802,67.8,59,1
S10215,18-20,Direct,2.99,0,1,21.2,0.668,22,73.8,0,0.521,47.3,19,0
S10216,21-24,Direct,3.34,0,1,41.1,0.879,11,56.9,1,0.782,51.8,16,0
S10217,18-20,Direct,2.93,1,1,41.8,0.858,23,97.0,2,0.726,49.0,18,0
S10218,18-20,Direct,,0,1,20.3,0.679,22,37.5,0,0.641,37.1,23,0
S10219,18-20,Transfer,2.08,0,1,8.0,0.783,23,,2,0.828,68.1,60,1
S10220,18-20,Access,3.57,0,0,9.1,0.626,10,51.1,3,0.659,88.5,59,1
S10221,18-20,Access,,1,0,20.2,0.745,22,55.1,0,0.712,72.4,50,1
S10222,21-24,Transfer,2.34,0,0,18.1,0.467,6,53.4,0,0.412,41.0,23,0
S10223,18-20,Direct,3.07,0,0,16.8,0.679,23,79.1,0,0.644,43.3,17,0
S10224,18-20,Direct,2.08,0,1,14.7,0.775,16,71.0,0,0.738,39.1,20,0
S10225,21-24,Transfer,2.6,1,1,6.6,0.702,11,56.9,1,0.62,32.5,15,0
S10226,21-24,Direct,3.22,1,0,39.5,0.975,22,69.1,0,1.0,83.3,55,1
S10227,21-24,Direct,1.89,1,0,6.4,0.709,9,,1,0.769,83.3,56,1
S10228,21-24,Direct,2.64,0,0,7.7,0.853,20,52.5,1,0.799,47.7,20,0
S10229,18-20,Access,2.91,0,0,36.3,0.673,22,58.2,2,0.637,57.3,21,0
S10230,18-20,Direct,2.18,0,1,6.2,0.548,12,50.3,0,0.443,45.5,14,0
S10231,21-24,Transfer,2.0,0,0,11.6,0.776,20,78.9,0,0.813,58.8,48,1
S10232,25+,Direct,2.63,1,0,7.2,0.674,10,65.4,3,0.742,74.4,58,1
S10233,21-24,Access,,0,0,3.2,0.82,23,100.0,2,0.746,46.4,20,0
S10234,21-24,Direct,3.15,0,1,6.0,0.79,11,53.1,1,0.812,89.7,60,1
S10235,18-20,Transfer,2.07,0,0,20.4,0.815,14,,0,0.792,74.1,60,1
S10236,25+,Direct,1.63,0,1,34.4,0.956,13,63.7,1,0.962,69.4,46,1
S10237,21-24,Direct,2.29,0,0,0.5,0.782,20,60.0,0,0.564,52.1,11,0
S10238,18-20,Transfer,2.82,0,0,4.2,1.0,16,91.8,0,1.0,81.6,46,1
S10239,21-24,Access,1.83,1,0,31.9,0.522,6,40.1,2,0.498,40.8,20,0
S10240,18-20,Direct,1.69,0,1,5.4,0.706,12,65.9,1,0.816,70.5,52,1
S10241,18-20,Direct,2.71,0,1,41.3,0.777,23,62.8,0,0.944,66.0,47,1
S10242,18-20,Access,2.98,1,0,8.7,0.936,20,53.9,0,0.817,54.8,17,0
S10243,18-20,Access,2.24,0,0,9.9,0.743,12,65.7,1,0.861,84.4,50,1
S10244,25+,Transfer,2.32,0,0,33.5,0.934,22,62.0,0,1.0,75.9,54,1
S10245,21-24,Direct,1.69,0,1,23.5,0.802,16,59.4,0,0.948,80.4,51,1
S10246,21-24,Transfer,2.97,1,0,23.7,0.512,18,71.8,0,0.437,51.2,22,0
S10247,21-24,Direct,2.16,1,0,,0.73,9,53.3,2,0.809,80.9,56,1
S10248,25+,Direct,2.7,0,0,3.2,0.625,19,64.6,0,0.505,54.8,20,0
S10249,25+,Access,2.76,0,0,10.6,0.593,14,55.2,0,0.591,56.3,16,0
S10250,18-20,Direct,2.57,0,1,,0.699,20,70.1,2,0.766,67.8,53,1
S10251,18-20,Direct,2.58,1,1,6.4,0.662,11,61.8,1,0.61,54.5,20,0
S10252,18-20,Access,,0,0,16.3,1.0,23,100.0,0,1.0,84.1,56,1
S10253,18-20,Direct,2.03,0,0,17.9,0.799,18,59.8,2,0.741,42.2,16,0
S10254,21-24,Direct,3.12,1,1,6.8,0.909,23,37.6,2,0.814,57.7,20,0
S10255,18-20,Direct,2.75,0,0,48.3,0.42,11,48.2,1,0.416,39.2,26,0
S10256,18-20,Transfer,2.65,0,0,14.1,0.729,14,73.9,2,0.802,77.0,59,1
S10257,18-20,Direct,2.69,0,1,31.6,0.821,14,66.4,1,0.836,88.8,55,1
S10258,18-20,Access,3.49,0,0,23.5,0.818,29,74.7,1,0.7,47.8,21,0
S10259,21-24,Direct,2.28,1,0,18.2,0.736,23,69.4,1,0.645,35.5,28,0
S10260,25+,Direct,2.67,1,0,9.7,0.885,21,67.5,2,0.98,82.0,53,1
S10261,21-24,Direct,3.46,0,1,25.4,0.605,10,62.0,2,0.789,79.4,58,1
S10262,25+,Transfer,2.0,0,0,41.5,0.674,10,52.1,0,0.569,45.7,11,0
S10263,18-20,Direct,1.51,1,0,34.4,0.771,17,48.0,1,0.621,32.3,9,0
S10264,18-20,Direct,2.72,0,0,42.6,0.675,17,62.4,0,0.685,72.5,52,1
S10265,21-24,Direct,3.14,1,0,21.6,0.678,11,66.3,3,0.644,53.7,20,0
S10266,25+,Direct,,0,1,3.1,0.745,17,69.2,0,0.682,56.6,26,0
S10267,18-20,Direct,3.0,0,0,5.1,0.806,28,44.7,0,0.867,80.7,50,1
S10268,18-20,Access,2.93,0,0,11.0,0.919,23,84.9,1,1.0,76.8,50,1
S10269,18-20,Direct,2.01,1,1,23.8,0.787,28,64.2,1,0.674,39.7,16,0
S10270,18-20,Direct,2.38,0,1,23.6,0.969,23,67.6,1,1.0,80.8,47,1
S10271,18-20,Access,1.54,0,0,5.2,0.909,29,60.5,2,0.827,40.7,18,0
S10272,18-20,Direct,1.99,0,1,9.7,0.481,6,57.4,0,0.389,29.2,24,0
S10273,18-20,Direct,2.27,1,0,15.8,0.701,12,76.7,1,0.582,44.0,19,0
S10274,18-20,Direct,1.76,0,0,9.0,0.771,9,54.2,1,0.799,65.8,52,1
S10275,21-24,Direct,2.68,1,0,6.8,0.721,20,80.2,3,0.699,60.2,20,0
S10276,25+,Direct,2.69,0,0,22.8,0.909,16,58.3,2,0.973,92.0,59,1
S10277,25+,Direct,2.71,1,1,9.0,0.641,12,70.0,1,0.603,40.6,24,0
S10278,18-20,Access,2.19,1,0,5.9,0.476,17,,0,0.638,79.7,49,1
S10279,18-20,Direct,3.07,1,0,2.8,0.554,20,76.8,3,0.65,74.1,53,1
S10280,18-20,Direct,3.28,0,0,4.9,0.715,13,71.6,0,0.862,88.2,50,1
S10281,25+,Direct,2.17,0,0,6.8,0.694,16,59.3,0,0.764,84.0,59,1
S10282,18-20,Direct,2.89,0,1,14.3,0.756,14,38.1,3,0.654,49.4,17,0
S10283,21-24,Direct,2.87,1,0,46.3,0.878,23,60.7,1,1.0,83.8,55,1
S10284,18-20,Transfer,,0,0,33.6,0.821,16,75.7,1,0.905,85.2,57,1
S10285,18-20,Direct,2.62,1,0,33.8,0.684,12,57.4,1,0.753,66.7,58,1
S10286,18-20,Access,2.17,1,0,10.4,0.602,0,40.2,2,0.495,45.6,17,0
S10287,18-20,Direct,2.17,0,0,16.2,0.701,16,69.2,2,0.796,81.2,56,1
S10288,18-20,Direct,2.32,1,0,56.8,0.781,21,54.8,3,0.723,34.9,20,0
S10289,18-20,Direct,,1,1,9.2,0.605,13,62.8,3,0.587,84.4,48,1
